price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,statezip
0.007,0.667,0.188,0.118,0.007,1.0,0,0,3,0.073,0.187,0.214,10.0,6,65
0.015,0.222,0.281,0.065,0.001,2.0,0,0,3,0.065,0.056,0.01,0.506,35,64
0.01,0.333,0.188,0.084,0.013,1.0,0,0,4,0.122,0.0,0.278,0.209,18,26
0.027,0.444,0.312,0.177,0.003,2.0,0,0,3,0.258,0.0,0.05,0.055,16,17
0.006,0.222,0.125,0.028,0.008,1.0,0,0,3,0.041,0.0,0.323,0.079,18,19
0.018,0.333,0.281,0.09,0.005,2.0,0,0,3,0.131,0.0,0.134,0.07,19,21
0.016,0.444,0.125,0.113,0.004,1.5,0,0,1,0.165,0.0,0.561,10.0,35,53
0.037,0.333,0.219,0.099,0.004,2.0,0,0,5,0.144,0.0,0.506,10.0,35,53
0.01,0.333,0.188,0.086,0.005,1.0,0,0,5,0.125,0.0,0.303,10.0,35,60
0.019,0.444,0.281,0.14,0.008,1.0,0,0,4,0.082,0.23,0.263,0.065,3,5
0.019,0.333,0.219,0.084,0.006,1.0,0,0,3,0.123,0.0,0.199,10.0,19,21
0.019,0.333,0.312,0.188,0.045,1.0,0,3,3,0.166,0.201,0.099,10.0,7,10
0.024,0.444,0.281,0.162,0.007,1.0,0,0,4,0.136,0.187,0.179,0.07,3,5
0.01,0.333,0.375,0.077,0.0,2.0,0,0,3,0.085,0.052,0.04,10.0,35,57
0.023,0.556,0.344,0.224,0.022,2.0,0,0,4,0.201,0.234,0.194,10.0,42,41
0.012,0.444,0.312,0.118,0.007,2.0,0,2,4,0.171,0.0,0.099,10.0,12,12
0.026,0.222,0.188,0.071,0.001,1.0,0,2,3,0.103,0.0,0.353,0.06,35,59
0.022,0.444,0.312,0.174,0.003,2.0,0,0,3,0.253,0.0,0.065,10.0,31,32
0.037,0.556,0.344,0.207,0.009,1.0,0,2,4,0.143,0.299,0.204,10.0,23,25
0.016,0.556,0.188,0.116,0.009,1.0,0,0,3,0.084,0.16,0.263,0.05,19,22
0.023,0.444,0.312,0.28,0.008,1.0,0,4,3,0.197,0.396,0.184,0.05,17,16
0.011,0.444,0.312,0.14,0.007,1.0,0,0,3,0.124,0.149,0.119,0.025,1,45
0.044,0.333,0.344,0.191,0.011,2.0,0,3,4,0.272,0.012,0.134,10.0,19,21
0.036,0.333,0.344,0.159,0.009,2.0,0,0,3,0.232,0.0,0.268,0.01,23,25
